0 verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
1 info using npm@11.6.2
2 info using node@v24.13.0
3 silly config load:file:C:\Program Files\nodejs\node_modules\npm\npmrc
4 silly config load:file:E:\tidymind\TidyMind\.npmrc
5 silly config load:file:C:\Users\Admin\.npmrc
6 silly config load:file:C:\Program Files\nodejs\node_global\etc\npmrc
7 verbose title npm outdated katex react-native @types/katex @react-native/typescript-config @react-native/babel-preset react @react-native/metro-config @react-native-community/cli-platform-android react-test-renderer @types/react-test-renderer @react-native/new-app-screen @react-native-community/cli eslint react-native-gesture-handler react-native-safe-area-context @react-native-documents/picker @types/jest @react-native/jest-preset typescript @react-navigation/native marked @react-native-community/cli-platform-ios @react-navigation/bottom-tabs @babel/runtime @babel/preset-env jest prettier openai react-native-screens @babel/core @react-native/eslint-config @react-navigation/native-stack @types/react @react-native-async-storage/async-storage react-native-image-picker
8 verbose argv "outdated" "--json" "katex" "react-native" "@types/katex" "@react-native/typescript-config" "@react-native/babel-preset" "react" "@react-native/metro-config" "@react-native-community/cli-platform-android" "react-test-renderer" "@types/react-test-renderer" "@react-native/new-app-screen" "@react-native-community/cli" "eslint" "react-native-gesture-handler" "react-native-safe-area-context" "@react-native-documents/picker" "@types/jest" "@react-native/jest-preset" "typescript" "@react-navigation/native" "marked" "@react-native-community/cli-platform-ios" "@react-navigation/bottom-tabs" "@babel/runtime" "@babel/preset-env" "jest" "prettier" "openai" "react-native-screens" "@babel/core" "@react-native/eslint-config" "@react-navigation/native-stack" "@types/react" "@react-native-async-storage/async-storage" "react-native-image-picker"
9 verbose logfile logs-max:10 dir:E:\tidymind\TidyMind\%LOCALAPPDATA%\npm-cache\_logs\2026-06-05T11_59_39_146Z-
10 verbose logfile E:\tidymind\TidyMind\%LOCALAPPDATA%\npm-cache\_logs\2026-06-05T11_59_39_146Z-debug-0.log
11 silly logfile start cleaning logs, removing 1 files
83 http fetch GET 200 https://registry.npmjs.org/jest 2586ms (cache revalidated)
84 http fetch GET 200 https://registry.npmjs.org/jest 2588ms (cache revalidated)
85 http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fnative 2592ms (cache revalidated)
86 http fetch GET 200 https://registry.npmjs.org/marked 2593ms (cache revalidated)
87 http fetch GET 200 https://registry.npmjs.org/openai 2593ms (cache revalidated)
88 http fetch GET 200 https://registry.npmjs.org/prettier 2594ms (cache revalidated)
89 http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fbottom-tabs 2596ms (cache revalidated)
90 http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fnative 2600ms (cache revalidated)
91 http fetch GET 200 https://registry.npmjs.org/typescript 2609ms (cache revalidated)
92 http fetch GET 200 https://registry.npmjs.org/typescript 2639ms (cache revalidated)
93 http fetch GET 200 https://registry.npmjs.org/typescript 2681ms (cache revalidated)
94 http fetch GET 200 https://registry.npmjs.org/typescript 2711ms (cache revalidated)
95 http fetch GET 200 https://registry.npmjs.org/@react-native-community%2fcli-platform-ios 2733ms (cache revalidated)
96 http fetch GET 200 https://registry.npmjs.org/@babel%2fpreset-env 2734ms (cache revalidated)
97 http fetch GET 200 https://registry.npmjs.org/prettier 2749ms (cache revalidated)
98 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2749ms (cache revalidated)
99 http fetch GET 200 https://registry.npmjs.org/@babel%2fruntime 2753ms (cache revalidated)
100 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2752ms (cache revalidated)
101 http fetch GET 200 https://registry.npmjs.org/@babel%2fruntime 2756ms (cache revalidated)
102 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2754ms (cache revalidated)
103 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2755ms (cache revalidated)
104 http fetch GET 200 https://registry.npmjs.org/react-native-screens 2760ms (cache revalidated)
105 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2762ms (cache revalidated)
106 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2765ms (cache revalidated)
107 http fetch GET 200 https://registry.npmjs.org/react-native-screens 2768ms (cache revalidated)
108 http fetch GET 200 https://registry.npmjs.org/react-native-screens 2773ms (cache revalidated)
109 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2774ms (cache revalidated)
110 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2774ms (cache revalidated)
111 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2779ms (cache revalidated)
112 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2777ms (cache revalidated)
113 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2777ms (cache revalidated)
114 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2781ms (cache revalidated)
115 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2780ms (cache revalidated)
116 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2781ms (cache revalidated)
117 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2782ms (cache revalidated)
118 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2786ms (cache revalidated)
119 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2787ms (cache revalidated)
120 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2787ms (cache revalidated)
121 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2788ms (cache revalidated)
122 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2793ms (cache revalidated)
123 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2792ms (cache revalidated)
124 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2793ms (cache revalidated)
125 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2795ms (cache revalidated)
126 http fetch GET 200 https://registry.npmjs.org/@react-native-documents%2fpicker 2810ms (cache miss)
127 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2810ms (cache revalidated)
128 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2812ms (cache revalidated)
129 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2818ms (cache revalidated)
130 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2819ms (cache revalidated)
131 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2821ms (cache revalidated)
132 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2825ms (cache revalidated)
133 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2827ms (cache revalidated)
134 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2830ms (cache revalidated)
135 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2830ms (cache revalidated)
136 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2831ms (cache revalidated)
137 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2835ms (cache revalidated)
138 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2836ms (cache revalidated)
139 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2838ms (cache revalidated)
140 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2839ms (cache revalidated)
141 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2882ms (cache revalidated)
142 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2886ms (cache revalidated)
143 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2888ms (cache revalidated)
144 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2891ms (cache revalidated)
145 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2896ms (cache revalidated)
146 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2897ms (cache revalidated)
147 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2901ms (cache revalidated)
148 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2901ms (cache revalidated)
149 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2904ms (cache revalidated)
150 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2908ms (cache revalidated)
151 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2910ms (cache revalidated)
152 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2922ms (cache revalidated)
153 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2923ms (cache revalidated)
154 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2927ms (cache revalidated)
155 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2935ms (cache revalidated)
156 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2961ms (cache revalidated)
157 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2965ms (cache revalidated)
158 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2970ms (cache revalidated)
159 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2974ms (cache revalidated)
160 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2977ms (cache revalidated)
161 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2981ms (cache revalidated)
162 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2983ms (cache revalidated)
163 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2986ms (cache revalidated)
164 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 2987ms (cache revalidated)
165 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3001ms (cache revalidated)
166 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3008ms (cache revalidated)
167 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3005ms (cache revalidated)
168 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3007ms (cache revalidated)
169 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3009ms (cache revalidated)
170 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3033ms (cache revalidated)
171 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3040ms (cache revalidated)
172 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3047ms (cache revalidated)
173 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3050ms (cache revalidated)
174 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3053ms (cache revalidated)
175 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3053ms (cache revalidated)
176 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3066ms (cache revalidated)
177 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3060ms (cache revalidated)
178 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3067ms (cache revalidated)
179 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3067ms (cache revalidated)
180 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3079ms (cache revalidated)
181 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3085ms (cache revalidated)
182 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3091ms (cache revalidated)
183 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3094ms (cache revalidated)
184 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3092ms (cache revalidated)
185 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3117ms (cache revalidated)
186 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3120ms (cache revalidated)
187 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3122ms (cache revalidated)
188 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3126ms (cache revalidated)
189 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3127ms (cache revalidated)
190 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3129ms (cache revalidated)
191 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3132ms (cache revalidated)
192 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3136ms (cache revalidated)
193 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3138ms (cache revalidated)
194 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3150ms (cache revalidated)
195 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3161ms (cache revalidated)
196 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3169ms (cache revalidated)
197 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3174ms (cache revalidated)
198 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3177ms (cache revalidated)
199 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3183ms (cache revalidated)
200 http fetch GET 200 https://registry.npmjs.org/@types%2freact 3199ms (cache revalidated)
201 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3204ms (cache revalidated)
202 http fetch GET 200 https://registry.npmjs.org/@types%2freact 3206ms (cache revalidated)
203 http fetch GET 200 https://registry.npmjs.org/@types%2freact 3208ms (cache revalidated)
204 http fetch GET 200 https://registry.npmjs.org/@types%2freact 3213ms (cache revalidated)
205 http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fnative-stack 3215ms (cache revalidated)
206 http fetch GET 200 https://registry.npmjs.org/react-native-image-picker 3216ms (cache revalidated)
207 http fetch GET 200 https://registry.npmjs.org/@react-native-async-storage%2fasync-storage 3217ms (cache revalidated)
208 http fetch GET 200 https://registry.npmjs.org/@types%2freact 3222ms (cache revalidated)
209 http fetch GET 200 https://registry.npmjs.org/react-native 3279ms (cache revalidated)
210 http fetch GET 200 https://registry.npmjs.org/react 3305ms (cache revalidated)
211 http fetch GET 200 https://registry.npmjs.org/@react-native%2feslint-config 3289ms (cache revalidated)
212 http fetch GET 200 https://registry.npmjs.org/react-native 3335ms (cache revalidated)
213 http fetch GET 200 https://registry.npmjs.org/react-native 3357ms (cache revalidated)
214 http fetch GET 200 https://registry.npmjs.org/react-native 3380ms (cache revalidated)
215 http fetch GET 200 https://registry.npmjs.org/eslint 3405ms (cache revalidated)
216 http fetch GET 200 https://registry.npmjs.org/eslint 3410ms (cache revalidated)
217 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3405ms (cache revalidated)
218 http fetch GET 200 https://registry.npmjs.org/eslint 3416ms (cache revalidated)
219 http fetch GET 200 https://registry.npmjs.org/react 3426ms (cache revalidated)
220 http fetch GET 200 https://registry.npmjs.org/react-native 3444ms (cache revalidated)
221 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3445ms (cache revalidated)
222 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3442ms (cache revalidated)
223 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3449ms (cache revalidated)
224 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3451ms (cache revalidated)
225 http fetch GET 200 https://registry.npmjs.org/eslint 3462ms (cache revalidated)
226 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3455ms (cache revalidated)
227 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3457ms (cache revalidated)
228 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3449ms (cache revalidated)
229 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3461ms (cache revalidated)
230 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3463ms (cache revalidated)
231 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3468ms (cache revalidated)
232 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3479ms (cache revalidated)
233 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3481ms (cache revalidated)
234 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3473ms (cache revalidated)
235 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3472ms (cache revalidated)
236 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3475ms (cache revalidated)
237 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3486ms (cache revalidated)
238 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3478ms (cache revalidated)
239 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3479ms (cache revalidated)
240 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3478ms (cache revalidated)
241 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3482ms (cache revalidated)
242 http fetch GET 200 https://registry.npmjs.org/@babel%2fcore 3484ms (cache revalidated)
243 verbose cwd E:\tidymind\TidyMind
244 verbose os Windows_NT 10.0.26200
245 verbose node v24.13.0
246 verbose npm  v11.6.2
247 verbose exit 1
248 verbose code 1
